URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CACHE_CONTROL,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATE_CITY,WHOIS_REG_YEAR,UPDATE_YEAR,DOMAIN_NAME,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,UDP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,TIPO
B0_113,17,6,ISO-8859-1,nginx,None,162,US,California,1997,2013,aste.org,31,22,3,3812,0,39,37,18784,4380,39,8,Benigna
B0_403,17,6,UTF-8,Apache/2.2.0 (Fedora),"max-age=269, must-revalidate",124140,US,Texas,1996,2017,kksf.com,57,2,5,4278,0,61,62,129889,4586,61,4,Benigna
B0_2064,18,7,UTF-8,nginx,None,11260,CN,Shanxi,2017,2017,gl-ks.org,11,6,9,894,0,11,13,838,894,11,0,Benigna
B0_462,18,6,iso-8859-1,Apache/2,None,345,US,Colorado,2002,2016,wsims.com,12,0,3,1189,0,14,13,8559,1327,14,2,Benigna
B0_1128,19,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Florida,1997,2017,hfcuvt.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1013,20,6,utf-8,Apache,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,US,Kansas,2007,2015,kctribe.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1102,20,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Colorado,2016,2016,judgeco.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_22,20,7,utf-8,Apache,"no-cache, no-store, must-revalidate, max-age=0",13716,UK,Nottingham,2002,2016,ac-cars.com,16,6,8,1492,0,20,20,2334,1784,20,4,Benigna
B0_482,20,6,ISO-8859-1,nginx,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",3692,US,Tennessee,2002,2015,bandmix.com,25,19,4,3946,0,35,29,16408,4746,35,10,Benigna
M0_71,21,7,ISO-8859-1,Apache/2.4.23,None,957,CA,Quebec,2000,2015,purethc.com,7,0,1,717,0,11,10,1960,1011,11,4,Maligna
